Year;Country;value
1981;Former Yugoslavia;100.539027
1984;Bangladesh;0.092103
2000;Bangladesh;1.013287
2014;Bangladesh;1.749653
2012;Bangladesh;2.854697
2013;Bhutan;0.183224
1998;Bhutan;0.09224
2001;Honduras;0.276675
2012;Honduras;0.17823
2000;Honduras;0.27666
2004;Honduras;0.36852
1993;Jamaica;0.056978
1994;Israel;12.121743
1996;Israel;14.126112
2007;Guatemala;0.919
2005;Jamaica;0.09502
2013;Hawaiian Trade Zone;-
1997;Bosnia and Herzegovina;8.172171
1992;Bosnia and Herzegovina;2.319192
1996;Bosnia and Herzegovina;2.531034
2014;Slovakia;13.009086
1997;Slovakia;22.002075
2002;Slovakia;16.27276
2008;Serbia;41.909439
2012;Serbia;41.87469
2006;Serbia;39.53043
2007;Serbia;40.45835
2014;Russia;400.653192
1993;Russia;497.677965
2002;Russia;397.550784
2003;Russia;403.478475
2013;Russia;374.708952
2004;Senegal;0.276636
1992;Russia;575.60658
1996;Russia;429.89164
2011;Senegal;0.92146
2006;Senegal;0.3683
2005;Ireland;6.317088
2014;Israel;20.330694
2003;Ireland;5.933696
2006;Ireland;5.563627
2004;Ireland;6.074838
1983;India;208.92952
1989;Former Yugoslavia;147.06033
1986;Former U.S.S.R.;1320.147425
1985;Former U.S.S.R.;1281.415058
1990;Former U.S.S.R.;1392.196302
1987;Former U.S.S.R.;1326.706
1989;Hong Kong;17.839392
2010;Guatemala;1.010636
2011;Hong Kong;25.510038
2007;Honduras;0.089531
1991;France;72.168975
1984;Puerto Rico;0.276465
1997;Puerto Rico;0.368604
2001;Puerto Rico;0.368524
2005;Puerto Rico;3.131094
2008;Puerto Rico;3.591159
1991;Puerto Rico;0.4606
1990;Romania;32.111382
1980;Romania;28.004676
1981;Romania;29.330832
1997;Romania;26.294913
2009;Indonesia;116.405552
1996;Indonesia;28.018768
1999;Indonesia;47.244222
1980;Indonesia;0.37416
2014;India;1309.410144
1997;India;490.280544
2002;India;584.662904
2000;India;544.316618
1998;Philippines;11.044509
2004;Philippines;18.921295
2007;Philippines;20.057527
2002;Philippines;15.70919
2001;Philippines;16.07064
1999;Philippines;12.57048
1993;Philippines;5.60004
1990;Poland;266.608064
1983;Poland;276.29773
2011;Poland;203.40722
1994;Hong Kong;18.942624
2000;Hong Kong;13.999504
2010;Hong Kong;20.997432
1981;Japan;200.940533
2007;Israel;27.55753
2010;Italy;47.823643
1998;Italy;37.125485
1987;Italy;49.11835
2014;U.S. Territories;-
1987;U.S. Territories;-
2001;Bosnia and Herzegovina;10.809576
2007;Canada;103.496752
2004;Canada;95.725652
2012;Greece;27.735967
1993;Greece;24.867297
1990;Greece;23.67504
1992;Greece;25.41188
2011;Chile;18.223722
2009;Chile;12.597424
2005;Canada;97.0872
2004;Former Serbia and Montenegro;37.032438
1994;Former Serbia and Montenegro;29.875091
1996;Former Serbia and Montenegro;37.6551
2001;Finland;12.891426
2010;Finland;15.405351
2013;Finland;12.889961
2004;Finland;17.364074
1995;Finland;12.44625
1989;Finland;12.13303
2000;Estonia;0.21202
1994;Congo (Kinshasa);0.203252
2003;Congo (Kinshasa);0.304866
2001;Congo (Kinshasa);0.304656
1989;Congo (Kinshasa);0.401536
1982;Congo (Kinshasa);0.40056
2005;Colombia;9.815966
1996;Croatia;0.569718
2014;Croatia;1.903089
1997;Croatia;0.847377
1992;Croatia;1.755336
1985;China;1529.312778
1983;China;1336.783371
1980;China;1199.302248
2011;China;7112.889727
1995;China;2296.907972
1985;Algeria;2.678063
1983;Algeria;2.677889
2008;Albania;0.19325
1980;Albania;3.38832
1996;China;2362.84389
2003;Argentina;1.739766
2000;Argentina;2.257389
2014;Argentina;4.128454
1990;Argentina;2.661691
1994;Botswana;1.657656
1998;Botswana;1.934247
1996;Argentina;2.72295
1998;Argentina;2.50306
1982;Botswana;0.83079
1993;Botswana;1.65735
2001;Czech Republic;75.549054
2006;Czech Republic;81.668237
2013;Czech Republic;58.511344
1981;Denmark;20.312712
1986;Denmark;24.41625
2009;Pakistan;12.576642
1986;Pakistan;5.411893
1987;Pakistan;5.593761
1984;Pakistan;4.226296
1985;Pakistan;5.235735
1983;Pakistan;3.765276
2003;Poland;207.082604
2013;Poland;203.251609
2010;Poland;198.94786
2005;Poland;202.3697
2003;United Arab Emirates;0.276411
1996;United Kingdom;149.796408
1986;United Kingdom;237.127176
1983;United Kingdom;230.582968
1985;United States;1638.177984
1987;United States;1690.933192
1997;United States;2039.8484
1989;Thailand;14.562387
1987;South Africa;259.131174
1991;South Africa;264.080257
1983;South Africa;222.25086
1998;Slovenia;5.307792
